Rank,Artist,Monthly Listeners
361,Gabito Ballesteros,19665875
362,Jaani,19665868
363,Foo Fighters,19589996
364,Wisin & Yandel,19585645
365,Tears For Fears,19562777
366,Adam Port,19501809
367,Oscar Maydon,19492063
368,Julia Michaels,19490245
369,Yo Yo Honey Singh,19396310
370,Beabadoobee,19355411
371,Nelly,19328949
372,Macklemore & Ryan Lewis,19269887
373,Pabllo Vittar,19256966
374,Skrillex,19223871
375,Sonu Nigam,19209096
376,The Walters,19167776
377,Alphaville,19144721
378,Cyndi Lauper,19001260
379,Jay Wheeler,18998300
380,Topic,18995472
381,Chinmayi,18975045
382,Polo G,18973632
383,Jubin Nautiyal,18944091
384,Lil Peep,18890052
385,Tems,18881874
386,Dire Straits,18819343
387,NLE Choppa,18776348
388,Julieta Venegas,18769983
389,Richy Mitch & The Coal Miners,18711698
390,Mark Ambor,18704439
391,B.o.B,18678398
392,LISA,18505208
393,Los Angeles Azules,18481645
394,Pink Floyd,18459215
395,Tito Double P,18446007
396,Darshan Raval,18441465
397,Julión Álvarez y su Norteño Banda,18408983
398,Migos,18401913
399,Annie Lennox,18388418
400,Coolio,18356558
401,Grupo Firme,18348505
402,De La Ghetto,18321248
403,Stevie Wonder,18306904
404,Hanumankind,18300326
405,R.E.M.,18299789
406,PARTYNEXTDOOR,18244430
407,Chino Pacas,18223400
408,The Cure,18127063
409,Jelly Roll,18090089
410,Nile Rodgers,18076664
411,Mora,18058342
412,5 Seconds Of Summer,18047275
413,Banda Sinaloense MS De Sergio Lizarraga,18036952
414,Vishal Dadlani,17992096
415,Divya Kumar,17990660
416,The Outfield,17986315
417,Jason Mraz,17981596
418,Kelly Clarkson,17977868
419,Van Morrison,17943752
420,Emilia,17932363
421,Frank Sinatra,17917675
422,Luis Miguel,17904120
423,Sunidhi Chauhan,17899887
424,Danny Ocean,17882758
425,Lil Yachty,17809827
426,Sech,17799280
427,Dido,17756431
428,League of Legends,17755281
429,John Mayer,17747875
430,George Ezra,17743118
431,MEDUZA,17717478
432,HUGEL,17708262
433,David Kushner,17667810
434,The Smiths,17643812
435,Maná,17641894
436,Keane,17636176
437,Noah Cyrus,17586405
438,Juanes,17580085
439,My Chemical Romance,17578716
440,Beéle,17558974
441,Duki,17539004
442,Karan Aujla,17493854
443,Celine Dion,17475619
444,Baby Keem,17457552
445,Dean Lewis,17456846
446,FISHER,17452277
447,Lauv,17443193
448,Cage The Elephant,17412295
449,Led Zeppelin,17335206
450,Himesh Reshammiya,17329096
451,Lenny Tavárez,17327592
452,Gotye,17258031
453,Gabry Ponte,17234780
454,Yseult,17220714
455,benny blanco,17158848
456,Yeat,17035573
457,Zion & Lennox,17007455
458,David Bowie,16949064
459,Amit Trivedi,16893990
460,Eyedress,16875075
461,Mulatto,16858992
462,Coi Leray,16767464
463,PinkPantheress,16759025
464,Carly Rae Jepsen,16699506
465,Prince Royce,16693461
466,Kehlani,16676866
467,Jonas Brothers,16644036
468,Fred again..,16590872
469,Ice Spice,16540958
470,Shaggy,16497174
471,A Boogie Wit da Hoodie,16494968
472,Gesaffelstein,16469287
473,¥$,16412919
474,Asees Kaur,16372416
475,Carlos Vives,16354531
476,Kunaal Vermaa,16352177
477,Daya,16341972
478,Eslabon Armado,16336439
479,Evanescence,16330475
480,PNAU,16327530
481,The White Stripes,16326739
482,MC Ryan SP,16325575
483,Jessie J,16323106
484,Michael Bublé,16295883
485,T-Pain,16283010
486,Gwen Stefani,16272035
487,Kimbra,16268993
488,MGMT,16242875
489,Jonas Blue,16242756
490,Bob Dylan,16190457
491,Chase Atlantic,16167195
492,Amaal Mallik,16152504
493,Kane Brown,16141615
494,Tammi Terrell,16128689
495,The Strokes,16108437
496,Javed Ali,16104217
497,WALK THE MOON,16075278
498,Dave Stewart,16060953
499,Blackpink,16059590
500,Ana Castela,16053385
501,Eladio Carrion,16044750
502,Muse,16009038
503,Dimitri Vegas & Like Mike,16006460
504,Neha Kakkar,16005898
505,Alec Benjamin,15984296
506,R3HAB,15982388
507,Limp Bizkit,15975186
508,YoungBoy Never Broke Again,15957006
509,Chayanne,15903499
510,Bernadya,15897483
511,Destiny's Child,15866000
512,Justin Quiles,15857089
513,Alejandro Fernandez,15853534
514,Zedd,15848688
515,Anu Malik,15820881
516,Xavi,15818388
517,Sachet Tandon,15813182
518,Eurythmics,15796524
519,Tulsi Kumar,15795370
520,La Oreja de Van Gogh,15768460
